Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag,BP-RP,RV,distancia_pc
5810921053042430080,263.13632185519,-69.82022850489,5.0001,0.7848,-10.646,-14.106,19.924568,,,,,199.9960000799984
6188734963694933248,204.37747759656,-27.24287623653,5.0001,0.0293,-40.078,-32.938,14.85362,15.830942,13.872128,1.958815,1.99,199.9960000799984
5866269987348655744,210.30210175103,-61.90431509315,5.0001,0.1858,14.658,-7.518,18.127277,19.375725,16.45654,2.919186,,199.9960000799984
5948507306740931584,263.64009230304,-47.98697436613,5.0001,0.9188,-6.211,-4.498,20.420944,21.196459,19.2843,1.912159,,199.9960000799984
1957524464342168704,336.82169108847,41.24951533126,5.0001,0.0288,41.276,13.245,15.530499,16.621426,14.495843,2.125583,,199.9960000799984
4137348254038589824,263.11494172235,-14.58721492086,5.0001,0.6874,-5.165,-1.628,20.016136,20.227583,18.8844,1.343184,,199.9960000799984
1746794883258684544,318.83740475541,12.79258863779,5.0001,0.1416,36.56,20.666,17.981934,19.692514,16.76702,2.925495,,199.9960000799984
4471872192855278464,271.92484911389,5.8477533915,5.0001,1.4745,-4.836,-2.54,20.42714,20.471365,18.466629,2.004736,,199.9960000799984
1432230310268417024,255.33081377115,55.16952209918,5.0001,0.046,-22.119,10.493,15.597586,16.845057,14.479086,2.365971,-18.11,199.9960000799984
2225718783699157632,341.12719693508,69.52890621151,5.0001,0.0592,30.857,37.415,17.244215,18.940561,15.99769,2.942871,,199.9960000799984
4068211096035704064,265.23987775344,-24.72881628963,5.0001,0.683,-0.432,-1.183,19.860964,20.511555,18.329779,2.181776,,199.9960000799984
4149043102059590528,265.40588589424,-14.92916797687,5.0001,0.5962,-17.47,-13.261,18.237158,18.240961,16.84881,1.392151,,199.9960000799984
2317889228542989568,10.46008297637,-29.93192580271,5.0001,0.6462,19.693,-35.771,20.215961,21.23148,18.868345,2.363134,,199.9960000799984
4134815666425993728,258.25581842193,-17.63380204317,5.0001,1.5722,-2.849,-1.014,20.463085,20.943464,19.886333,1.057131,,199.9960000799984
2847658394940465536,359.58434826606,22.31861509817,5.0001,0.1099,55.05,-1.748,17.45765,19.15804,16.214945,2.943094,,199.9960000799984
